tu,dinh_nghia
khét mù,mùi khét lan rộng
rị,"Kéo, níu giữ lại."
ca ca,(từ cũ) người anh
lánh mình,đi trốn hoặc ở ẩn
nhân công,sức người làm nên
sắc thái,màu vẻ riêng biệt
sắc đẹp,vẻ đẹp của phụ nữ
giai phẩm,"tác phẩm hay, đẹp"
đái dầm,đái trong khi ngủ
hồng nhan,người con gái đẹp
trải qua,từng qua một thời
quốc thổ,đất đai nước mình
ríu lưỡi,không nói nên lời
chủng loại,các thứ khác nhau
khán,"khán thủ, nói tắt"
dự thi,tham gia cuộc thi
ngây dại,"ngây ngô, dại dột"
chạng vạng,trời nhá nhem tối
thơ dại,tuổi chưa biết gì
thơ ấu,thuở còn nhỏ tuổi
ứng phó,Đối phó kịp thời.
tài bồi,(từ cũ) vun trồng
du ngoạn,đi chơi ngắm cảnh
nan trị,khó chữa; khó bảo
hùng vĩ,"rộng lớn, mạnh mẽ"
lạc thú,"thích thú, vui vẻ"
song thân,(từ cũ) cha và mẹ
cận,cận thị (nói tắt)
kiệm ước,tằn tiện đúng mực
lay nhay,lây nhây; kéo dài
rọ rạy,động đậy liên tục
thời khắc biểu,xemthời gian biểu
lừ thừ,"chậm chạp, uể oải"
phiền phức,"phức tạp, rắc rối"
nhàn rỗi,chưa được sử dụng
săng,áo quan; quan tài
biệt tài,tài năng đặc biệt
ôn dịch,bệnh truyền nhiễm
cỗi xuân,(từ cũ) người cha
bao thơ,phong bì; bao thư
rời miệng,điều vừa nói xong
cao ngạo,"kiêu kì, ngạo mạn"
thúc phụ,(từ cũ) người chú
thúc bá,xemanh em thúc bá
hào hùng,tính chất mạnh mẽ
ngất,bất tỉnh đột ngột
ngập,phủ kín hoàn toàn
phân bố,chia ra nhiều nơi
nhiêu khê,"phức tạp, rắc rối"
hùng hổ,"nóng nảy, thô bạo"
hùng hậu,đầy đủ và mạnh mẽ
hùng,"mạnh mẽ, tài giỏi"
sơ sài,"qua loa, không kĩ"
thích đáng,đáp ứng thoả đáng
tới số,đến lúc phải chết
nhanh chóng,không để chậm trễ
nhanh chai,"lanh lợi, mau mắn"
sơ giản,"sơ lược, đơn giản"
tả đạo,(từ cũ) nhưtà đạo
nức nở,khóc nấc từng hồi
thung đường,(từ cũ) người cha
bủn xỉn,hà tiện; keo kiệt
phi lý,ngược với lẽ phải
nhị nguyên luận,thuyết nhị nguyên
tổng tấn công,xemtổng tiến công
ho hen,"ho, nói khái quát"
tình thư,thư gửi người yêu
dộng,đập thẳng và mạnh
quốc dân,nhân dân một nước
lồng oản,khuôn để đóng oản
liến láu,hay nói lung tung
nghiêm ngặt,"chặt chẽ, gắt gao"
làm bàn,tạo nên bàn thắng
buồn thảm,buồn rầu thê thảm
là là,gần sát mặt phẳng
sừng sộ,"hung hăng, dữ tợn"
lầm than,"nghèo khó, cơ cực"
mùa hanh,thời gian khô ráo
chư tướng,các vị tướng lĩnh
bơ phờ,"mệt mỏi, chán nản"
phây phây,"béo đẹp, hồng hào"
diện kiến,gặp mặt trực tiếp
lắt léo,"quanh co, rắc rối"
hỏi tội,bắt phải nhận tội
từ ngữ,tập hợp từ và ngữ
nghếch,hơi chếch lên cao
vãng lai,Người đến rồi đi.
vang lừng,Truyền đi rất xa.
kinh hãi,"kinh sợ, hãi hùng"
hơn hớn,sức sống tràn đầy
nhận thấy,hiểu được rõ ràng
hủ bại,suy đồi; thối nát
hủ,lạc hậu; lỗi thời
nhu phí,tiền cần chi tiêu
rụt,"co, thụt ngắn lại"
thuyền quyên,người con gái đẹp
kiêng nể,dè dặt vì kính nể
toại chí,đạt được mục đích
hồ nghi,ngờ vực; chưa tin
máu mặt,cảnh sống khá giả
van nài,Cầu xin dai dẳng.
sân quần,sân chơi quần vợt
kiên định,trước sau như một
mẫu mã,quy cách hàng hoá
lẻo mép,hay nói lung tung
nhăn nheo,có nhiều nếp nhăn
tàu ô,(từ cũ) cướp biển
nhèo nhẹo,trẻ khóc dai dẳng
nheo nhóc,không ai chăm sóc
tinh hoa,phần tốt đẹp nhất
Dương quan,nơi chia tay nhau
khử,giết kẻ nguy hiểm
nhăng nhít,không đâu vào đâu
bất hảo,tư cách không tốt
cau mày,nhíu mày suy nghĩ
khuyến cáo,đưa ra lời khuyên
hiểm ác,hung ác ngấm ngầm
cặm cụi,chăm chú làm việc
nhược điểm,"chỗ kém, điểm yếu"
mẫu thân,(từ cũ) từ gọi mẹ
nhắn tin,nhờ người đưa tin
lá mặt,lá gói ngoài bánh
bạc phận,số phận mỏng manh
hưu bổng,(từ cũ) lương hưu
bảnh,vẻ đẹp chải chuốt
bá láp,bậy bạ; xemba láp
khu xử,dàn xếp phân minh
quần áo,"đồ mặc, nói chung"
phung,xemphong(nghĩa 1)
lực kế,dụng cụ để đo lực
khoáng đạt,tầm nhìn rộng rãi
hiện đại,thuộc về thời nay
tạp tụng,những vụ kiện nhỏ
tạp khuẩn,vi khuẩn tạp nhạp
ấm cúng,"thân mật, dễ chịu"
khởi sự,bắt đầu thực hiện
khởi loạn,nổi lên chống lại
nghẹt họng,nói không nên lời
nay mai,thời gian sắp tới
kế cận,gần ngay bên cạnh
nghén,người mới có thai
thu dụng,tiếp nhận và dùng
thương điếm,(từ cũ) hiệu buôn
tiểu di,nói nhỏ để dặn dò
ắp,đầy đến tận miệng
khoan thứ,rộng lòng tha thứ
hoàn toàn,đầy đủ về mọi mặt
quân ngũ,hàng ngũ quân đội
hương lân,(từ cũ) xóm giềng
Quân thiều,khúc nhạc quân sự
ỡm ờ,"trêu đùa, cợt nhả"
quân hạm,(từ cũ) tàu chiến
thượng quan,(từ cũ) quan trên
giọt máu,quan hệ ruột thịt
xương cốt,"Xương, nói chung."
sàng lọc,lựa chọn kỹ lưỡng
giờ chính quyền,nhưgiờ hành chính
khâu đột,khâu từng mũi nhỏ
súc mục,(từ cũ) chăn nuôi
áo quần,"đồ mặc, nói chung"
suy tổn,hao mòn và kém đi
hoạn nạn,gặp cảnh tai biến
thanh vắng,"yên lặng, vắng vẻ"
khả ố,đáng ghét; xấu xa
khả nghi,đáng ngờ; khó tin
mâm son,mâm gỗ sơn màu đỏ
ôn tồn,"thong thả, từ tốn"
sát sinh,giết thịt gia súc
chầu trời,chết (ý hài hước)
khắc kỷ,kiềm chế ham muốn
khát,thiết tha muốn có
tưởng lục,(từ cũ) giấy khen
nực nội,nóng bức khó chịu
thụ thai,bắt đầu mang thai
ngạc,(từ cũ) vòm miệng
chia ly,mỗi người một ngã
khao khát,tha thiết có được
xã tắc,(từ cũ) Đất nước.
nhắc nhỏm,nói đến nhiều lần
khánh chúc,(từ cũ) chúc mừng
quắm,"dao quắm, nói tắt"
tịch,"tịch thu, nói tắt"
mã thượng,tư thế hiên ngang
mạnh bạo,dám nghĩ; dám làm
huấn,"huấn đạo, nói tắt"
mảy may,một lượng rất nhỏ
hợp tác,cùng làm với nhau
khái huyết,(từ cũ) ho ra máu
hư vinh,vinh dự hão huyền
sắp đặt,xếp cho có thứ tự
góc lồi,góc nhỏ hơn 180độ
ngơm ngớp,sợ một cách mơ hồ
tệ bạc,xấu bụng và vô ơn
ngơi tay,tạm nghỉ làm việc
lạnh gáy,ớn lạnh vì quá sợ
lành lạnh,cảm giác hơi lạnh
thượng trình,(từ cũ) lên đường
khoái hoạt,"thích thú, vui vẻ"
tàm tạm,chưa được tốt lắm
nhay nháy,chớp mắt liên tục
tiền án,án đã xử trước đó
sắp hàng,xếp thành một dãy
khó ở,khó có thể ở được
khai hấn,(từ cũ) gây chiến
quang gánh,quang và đòn gánh
quán chỉ,(từ cũ) quê hương
tè,"thấp, lùn quá mức"
phá phách,làm cho tan hoang
ngừng bắn,tạm dừng chiến sự
lặng ngắt,im lặng hoàn toàn
lẹm,bị lõm; bị khuyết
chịu tội,nhận tội của mình
chịu thua,đành nhận là thua
rõ rệt,nhận thấy dễ dàng
văn chương,Lời hoặc câu văn.
tài mạo,"tài hoa, dung mạo"
mắc áo,"đồ để treo áo, mũ"
nhẫy,màu đen bóng láng
âm vận,"vần trong thơ, ca"
ngừng tay,tạm nghỉ làm việc
lầu xanh,nhà chứa gái điếm
sôi sục,biến động mạnh mẽ
quan san,cửa ải và núi non
kề cà,kéo dài thời gian
tàu tàu,"hơi cũ, tàng tàng"
hố,bị lừa do sơ suất
phá hoại,cố ý làm cho hỏng
hôi tanh,"xấu xa, nhơ nhuốc"
tiều,"tiều phu, nói tắt"
vàng mười,Vàng nguyên chất.
soi xét,xem kĩ để thấy rõ
kè nhè,giọng nói kéo dài
gương nga,(từ cũ) mặt trăng
vỗ béo,Vỗ cho chóng béo.
giả bộ,làm ra bộ; giả vờ
rợp bóng,không có ánh nắng
rơn rớt,"sền sệt, lầy nhầy"
rởm đời,cách sống lố lăng
rạc rài,"long đong, vất vả"
rù rì,"chậm chạp, ít nói"
nói mê,nói trong lúc ngủ
ác tà,mặt trời gần lặn
nói suông,nói mà không làm
lao dịch,công việc vất vả
nói thật,nói đúng sự thật
sơn khê,núi non hiểm trở
sơ cảo,bản thảo lần đầu
ha,"héc-ta, viết tắt"
thừa gia,kế tiếp việc nhà
êu,từ tỏ sự ghê tởm
nhu mì,"dịu dàng, nết na"
nhuần,thấm đều mọi nơi
thanh hao,xemchổi(nghĩa 1)
phủ định,quả quyết bác bỏ
mong mỏi,khao khát từ lâu
ngôi báu,(từ cũ) ngôi vua
lao xao,"nhộn nhịp, ồn ào"
cổ học,nền học ngày xưa
thừa lương,(từ cũ) hóng mát
hôn loạn,"mê muội, rối rắm"
nhàn đàm,nói chuyện phiếm
èo uột,"yếu ớt, khó nuôi"
tu chính,sửa lại cho đúng
nát gan,lo lắng; đau đớn
học kỳ,phần của năm học
trẻ thơ,trẻ con; trẻ nhỏ
trọc,đầu không có tóc
ễnh,bụng phình to ra
mất mạng,mang hoạ mà chết
trọn vẹn,hoàn toàn đầy đủ
nguỵ kế,mưu mẹo gian dối
tân khổ,"cay đắng, vất vả"
hỗ tương,trao đổi qua lại
mùng,xemmồng(nghĩa 2)
mụt,chồi non mới nhú
rưa rứa,hơi giống; na ná
mẫm,"béo tốt, đầy đặn"
mỏ khoét,loài chim hay ăn
khuê môn,nơi ở của phụ nữ
mối lái,"làm mối, nói tắt"
trờm,thừa và trùm lên
khang trang,"rộng rãi, mát mẻ"
nhầy,nhão và hơi dính
núc,biến âm của nước
quan tái,biên thuỳ xa xôi
hùm sói,những kẻ hung dữ
hướng dẫn,chỉ bảo đường đi
nhảy đầm,(từ cũ) khiêu vũ
gối loan,gối của vợ chồng
ngượng mồm,cảm thấy khó nói
diện mạo,vẻ mặt con người
thảo nguyên,đồng cỏ rộng lớn
loạn thần,kẻ chống lại vua
ngón tay,ngón của bàn tay
mạch điện,Xemmạch(nghĩa 5)
nhơ nhuốc,"xấu xa, nhục nhã"
long nhãn,cùi nhãn sấy khô
thâm tình,tình cảm sâu đậm
quan ngại,lo ngại khó khăn
tận trung,hết lòng phục vụ
huyết cầu,tế bào trong máu
len lét,"khép nép, sợ sệt"
sinh nhai,làm ăn sinh sống
năm bảy,số lượng khá nhỏ
bú dù,khỉ (tiếng mắng)
siêu đao,xemsiêu(nghĩa 2)
hồ hởi,vui và phấn khởi
trơ trơ,không nhúc nhích
phơi bày,để lộ cái xấu xa
gấp ngày,còn ít thời gian
măng sữa,tuổi còn thơ dại
quán trọ,nhà trọ loại nhỏ
hòm hòm,"tạm xong, tạm đủ"
ngủ mê,ngủ một giấc say
nông gia,(từ cũ) nhà nông
quả phụ,người đàn bà goá
quá khứ,thời gian đã qua
hung phạm,(từ cũ) hung thủ
mươi,từ chỉ hàng chục
mướp hương,mướp có mùi thơm
truy lùng,tìm và đuổi theo
truyền bảo,ra lệnh; chỉ bảo
minh quân,vị vua sáng suốt
gia ấm,(từ cũ) phúc nhà
huyết tính,sốt sắng giúp đỡ
sẩy chân,bước bị hụt chân
khai sơn,phá núi mở đường
nhay nhay,nhay đi nhay lại
chiêu phủ,vời đến và vỗ về
em rể,chồng của em gái
giáo tài,tài liệu dạy học
kíp chầy,(từ cũ) sớm muộn
nao nao,lo lắng; bối rối
phèo,ruột non đã luộc
mũ sắt,mũ bằng kim loại
quả cật,(từ cũ) quả thận
lạnh bụng,đi ngoài ra nước
linh đình,to để phô trương
tiền của,tiền bạc của cải
trạm xá,cơ quan y tế nhỏ
đồng từ,cùng một lời nói
gốc ngọn,đầu đuôi sự việc
kham,có thể chịu đựng
khám bệnh,xemkhám(nghĩa 2)
lục lăng,(từ cũ) lục giác
lục lâm,kẻ cướp thời xưa
múm,mím môi phùng má
người người,tất cả mọi người
khói lửa,cảnh chiến tranh
mạy,tre nhỏ đặc ruột
tích sự,"kết quả, lợi ích"
man trá,"giả dối, lừa đảo"
lúa chiêm,lúa vụ tháng năm
lúa con gái,lúa sắp trổ đòng
tròng đen,lòng đen của mắt
bóng hồng,người phụ nữ đẹp
tài đức,"tài năng, đức độ"
tài lợi,"của cải, lợi lộc"
tà vạy,không ngay thẳng
tai ác,điều gây tai hại
xạ kích,Chuyên bắn súng.
hải tần,(từ cũ) ven biển
thụ nghiệp,(từ cũ) theo học
in ít,ít (hạn chế bớt)
rốt,vị trí cuối cùng
tuyệt sắc,nhan sắc rất đẹp
trường sinh,(từ cũ) sống lâu
thần lực,sức mạnh kì diệu
lững chững,trẻ đi chưa vững
mặt phấn,mặt có đánh phấn
vén,Thu lại cho gọn.
quạt mo,quạt bằng mo cau
khó nói,không thể nói ra
nhắm nghiền,khép chặt mi mắt
đẳng trương,áp suất như nhau
giang tân,(từ cũ) bến sông
toang hoác,có độ hở quá mức
tồi tàn,đến mức thảm hại
nha sĩ,bác sĩ chữa răng
điềm hùng,mong có con trai
toàn bị,"trọn vẹn, đầy đủ"
tướng quốc,(từ cũ) tể tướng
khúc chiết,"rõ ràng, gãy gọn"
thú phục,nhận và chịu tội
thất tán,lạc đi nhiều nơi
tế tự,(từ cũ) thờ cúng
tuyết cừu,rửa sạch mối thù
khả thủ,có thể chấp nhận
rí rỏm,có tính hài hước
thanh thiên,màu xanh da trời
thanh tú,vẻ đẹp thanh nhã
hoang toàng,tiêu xài bừa bãi
hàng đầu,vị trí trước hết
khốn cực,hết sức cùng khổ
dáng điệu,nhưdáng(nghĩa 1)
đau buồn,"buồn bực, xót xa"
tươm tất,tương đối đầy đủ
thẻo,miếng nhỏ và dài
phóng hoả,đốt để thiêu huỷ
hợp lý,đúng với lẽ phải
tai quái,tinh ranh độc ác
ốm đòn,"vất vả, khó nhọc"
tư trợ,giúp đỡ tiền của
ngu hèn,"đần độn, kém cỏi"
quẳng,thẳng tay ném đi
thượng cấp,(từ cũ) cấp trên
yêu thuật,Phép lạ khó tin.
dung nhan,vẻ đẹp khuôn mặt
luận,bàn về vấn đề gì
trồng tỉa,chăm bón cây cối
trờn trợn,hơi trợn mắt lên
trở trời,thời tiết xấu đi
lệt bệt,"mệt nhọc, uể oải"
sai ngoa,bịa đặt; dối trá
san bằng,thắng bằng ý chí
hương lý,(từ cũ) làng xóm
tiếp liền,theo ngay sau đó
nòng súng,nhưnòng(nghĩa 2)
chà xát,cọ xát nhiều lần
giọng kim,"giọng cao, thanh"
tín vật,vật dùng làm tin
tự thân,tự bản thân mình
sun,"co lại, chun lại"
hoang tàn,"đổ nát, điêu tàn"
ngồi đồng,ngồi để lên đồng
ngồi tù,bị giam trong tù
tơ đồng,đàn bằng gỗ vông
nhà cửa,"nhà ở, nói chung"
giản lậu,"thô sơ, quê kệch"
nặng lòng,hết sức quan tâm
lao khổ,"vất vả, cực nhọc"
thèn thẹn,hơi mất tự nhiên
tứ vi,(từ cũ) vây chặt
chăm sóc,săn sóc cẩn thận
sĩ hoạn,(từ cũ) quan lại
ngoáp,ngáp (nói về cá)
ma bùn,gàn dở; bần tiện
nón cời,(từ cũ) nón rách
quân phí,kinh phí quân sự
trở mùi,có mùi thiu thối
ngù ngờ,"chậm chạp, lờ đờ"
âm u,"tối tăm, vắng vẻ"
hương khói,thờ cúng tổ tiên
áy,"cằn cỗi, khô héo"
sung chức,nhận một chức vụ
lữ,"lữ đoàn, nói tắt"
lữ điếm,(từ cũ) quán trọ
giám hiệu,xemban giám hiệu
lạ tai,thấy lạ khi nghe
tê,"tê giác, nói tắt"
từ chức,xin thôi chức vụ
từ tạ,cảm ơn và xin về
thế cục,(từ cũ) cuộc đời
lợp,phủ kín lên trên
gièm,đặt điều nói xấu
dõng dạc,"mạnh mẽ, rõ ràng"
thù hằn,thù rất sâu nặng
khoe khoang,khoe (hàm ý chê)
hiện hành,đang có hiệu lực
vô độ,Không chừng mực.
sãi vãi,nhà sư và bà vải
tự khi,tự dối lòng mình
rì rì,"từ từ, chậm chạp"
kềnh kệnh,xemkệnh(nghĩa 1)
thắt đáy,thót ở phần giữa
trú phường,(từ cũ) quán trọ
độn thổ,tìm cách để trốn
dồn dập,liên tiếp xảy ra
quay quắt,"xảo trá, lừa lọc"
hồi sinh,làm cho sống lại
tiếu mạ,(từ cũ) chê cười
quen nết,có thói quen xấu
quét tước,nhưquét(nghĩa 1)
khu trú,ở riêng một vùng
khoảnh độc,(ít dùng) ác độc
dây xích,xemxích(nghĩa 1)
hữu quan,có liên quan đến
hữu ý,có ý định làm gì
ná,nỏ dùng bắn chim
trùng vi,vòng vây dày đặc
trung y,y học Trung Quốc
định bụng,nhưđịnh(nghĩa 1)
thu góp,nhóm lại một chỗ
thậm tệ,hết sức tàn nhẫn
thân mến,tình cảm quý mến
thực tài,tài năng có thật
diệu vợi,"xa xôi, cách trở"
lúm,hơi trũng ở giữa
lũn cũn,ngắn đến khó coi
thị quan,cơ quan thị giác
dịu,cảm giác dễ chịu
giàu có,xemgiàu(nghĩa 1)
giập mật,"vất vả, cực nhọc"
gian trá,"dối trá, lừa đảo"
hoá nhi,tạo hoá; con tạo
già giang,(từ cũ) cái gông
sâu kín,"sâu sắc, kín đáo"
leo nheo,trẻ con hay quấy
thứ vị,(từ cũ) ngôi thứ
rỗi việc,ít việc phải làm
nhắng,ra vẻ quan trọng
bặt,không tin tức gì
khuynh,ngả về; thiên về
